Table 1
,,,,,,
PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS PER NODE,TOTAL CYCLES,WALL CLOCK TIME (s)
HARDWARE,NETWORK,2097152,1,1,739092119132,5002
HARDWARE,NETWORK,4194304,1,1,1619015541645,10941
HARDWARE,NETWORK,2097152,1,2,370282565686,2543
HARDWARE,NETWORK,4194304,1,2,811053569805,5553
HARDWARE,NETWORK,2097152,1,4,186827715111,1320
HARDWARE,NETWORK,4194304,1,4,409230920945,2875
HARDWARE,NETWORK,2097152,1,8,100067020641,742
HARDWARE,NETWORK,4194304,1,8,219187705916,1608
HARDWARE,NETWORK,2097152,1,16,75731858604,579
HARDWARE,NETWORK,4194304,1,16,165873368863,1252
HARDWARE,NETWORK,2097152,1,32,74934696326,574
HARDWARE,NETWORK,4194304,1,32,164105867491,1241
HARDWARE,NETWORK,2097152,2,1,369795005119,2540
HARDWARE,NETWORK,4194304,2,1,810002742020,5547
HARDWARE,NETWORK,2097152,2,2,185279143102,1310
HARDWARE,NETWORK,4194304,2,2,405797133818,2853
HARDWARE,NETWORK,2097152,2,4,93491821873,698
HARDWARE,NETWORK,4194304,2,4,204770377307,1511
HARDWARE,NETWORK,2097152,2,8,50064511888,408
HARDWARE,NETWORK,4194304,2,8,109652554454,877
HARDWARE,NETWORK,2097152,2,16,37875516803,327
HARDWARE,NETWORK,4194304,2,16,82948897778,699
HARDWARE,NETWORK,2097152,2,32,37489079285,324
HARDWARE,NETWORK,4194304,2,32,82080308367,694
HARDWARE,NETWORK,2097152,4,1,185151391706,1309
HARDWARE,NETWORK,4194304,4,1,405506484241,2850
HARDWARE,NETWORK,2097152,4,2,92772924848,693
HARDWARE,NETWORK,4194304,4,2,203161995967,1501
HARDWARE,NETWORK,2097152,4,4,46821408398,387
HARDWARE,NETWORK,4194304,4,4,102530191358,830
HARDWARE,NETWORK,2097152,4,8,25069328525,241
HARDWARE,NETWORK,4194304,4,8,54892760706,513
HARDWARE,NETWORK,2097152,4,16,18949034588,200
HARDWARE,NETWORK,4194304,4,16,41488393262,423
HARDWARE,NETWORK,2097152,4,32,18767543621,199
HARDWARE,NETWORK,4194304,4,32,41068829672,420
HARDWARE,NETWORK,2097152,8,1,92777363921,693
HARDWARE,NETWORK,4194304,8,1,203152153349,1501
HARDWARE,NETWORK,2097152,8,2,46491704746,384
HARDWARE,NETWORK,4194304,8,2,101789592083,825
HARDWARE,NETWORK,2097152,8,4,23471768942,231
HARDWARE,NETWORK,4194304,8,4,51385584065,489
HARDWARE,NETWORK,2097152,8,8,12565656462,158
HARDWARE,NETWORK,4194304,8,8,27499939803,330
HARDWARE,NETWORK,2097152,8,16,9488142818,137
HARDWARE,NETWORK,4194304,8,16,20760323843,285
HARDWARE,NETWORK,2097152,8,32,9408595733,137
HARDWARE,NETWORK,4194304,8,32,20564301406,284
