PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS PER NODE,TOTAL CYCLES,WALL CLOCK TIME (s)
HARDWARE,NETWORK,8388608,1,1,3530364161670,23837
HARDWARE,NETWORK,16777216,1,1,7671156472322,51722
HARDWARE,NETWORK,8388608,1,2,1768572538779,12082
HARDWARE,NETWORK,16777216,1,2,3842583972749,26199
HARDWARE,NETWORK,8388608,1,4,892265228637,6240
HARDWARE,NETWORK,16777216,1,4,1936127205848,13490
HARDWARE,NETWORK,8388608,1,8,477862930304,3476
HARDWARE,NETWORK,16777216,1,8,1035738828725,7484
HARDWARE,NETWORK,8388608,1,16,361870322372,2703
HARDWARE,NETWORK,16777216,1,16,786492670792,5827
HARDWARE,NETWORK,8388608,1,32,358007662811,2679
HARDWARE,NETWORK,16777216,1,32,778223008235,5767
HARDWARE,NETWORK,8388608,2,1,1767254795902,12073
HARDWARE,NETWORK,16777216,2,1,3839505024971,26176
HARDWARE,NETWORK,8388608,2,2,885294114656,6192
HARDWARE,NETWORK,16777216,2,2,1923402485378,13403
HARDWARE,NETWORK,8388608,2,4,446730794989,3269
HARDWARE,NETWORK,16777216,2,4,970433602105,7049
HARDWARE,NETWORK,8388608,2,8,239225407648,1885
HARDWARE,NETWORK,16777216,2,8,519637443572,4043
HARDWARE,NETWORK,8388608,2,16,180961091812,1497
HARDWARE,NETWORK,16777216,2,16,393353268574,3207
HARDWARE,NETWORK,8388608,2,32,179041446962,1485
HARDWARE,NETWORK,16777216,2,32,389171547050,3175
HARDWARE,NETWORK,8388608,4,1,884636906178,6189
HARDWARE,NETWORK,16777216,4,1,1922910401147,13402
HARDWARE,NETWORK,8388608,4,2,443173860854,3245
HARDWARE,NETWORK,16777216,4,2,963230285627,7001
HARDWARE,NETWORK,8388608,4,4,223640047308,1782
HARDWARE,NETWORK,16777216,4,4,486113125484,3824
HARDWARE,NETWORK,8388608,4,8,119733972221,1088
HARDWARE,NETWORK,16777216,4,8,260248088222,2315
HARDWARE,NETWORK,8388608,4,16,90499384813,895
HARDWARE,NETWORK,16777216,4,16,196714046317,1895
HARDWARE,NETWORK,8388608,4,32,89559167475,888
HARDWARE,NETWORK,16777216,4,32,194642515858,1876
HARDWARE,NETWORK,8388608,8,1,443087710666,3245
HARDWARE,NETWORK,16777216,8,1,962988417838,7002
HARDWARE,NETWORK,8388608,8,2,221993429648,1771
HARDWARE,NETWORK,16777216,8,2,482416638863,3796
HARDWARE,NETWORK,8388608,8,4,112043432615,1037
HARDWARE,NETWORK,16777216,8,4,243506420824,2208
HARDWARE,NETWORK,8388608,8,8,59962909958,691
HARDWARE,NETWORK,16777216,8,8,130305341670,1447
HARDWARE,NETWORK,8388608,8,16,45269638784,593
HARDWARE,NETWORK,16777216,8,16,98383699949,1239
HARDWARE,NETWORK,8388608,8,32,44817498683,592
HARDWARE,NETWORK,16777216,8,32,97373216899,1228
