,,,,,,
PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS PER NODE,TOTAL CYCLES,WALL CLOCK TIME (s)
HARDWARE,NETWORK,33554432,1,1,16555864092960,111544
HARDWARE,NETWORK,33554432,1,2,8302673900962,56509
HARDWARE,NETWORK,33554432,1,4,4180487925752,29026
HARDWARE,NETWORK,33554432,1,8,2235488417838,16061
HARDWARE,NETWORK,33554432,1,16,1703720357309,12519
HARDWARE,NETWORK,33554432,1,32,1686116448188,12397
HARDWARE,NETWORK,33554432,2,1,8314613954549,56589
HARDWARE,NETWORK,33554432,2,2,4165539810707,28927
HARDWARE,NETWORK,33554432,2,4,2098376683790,15152
HARDWARE,NETWORK,33554432,2,8,1122499890103,8649
HARDWARE,NETWORK,33554432,2,16,852063631232,6840
HARDWARE,NETWORK,33554432,2,32,843138416846,6787
HARDWARE,NETWORK,33554432,4,1,4163435462576,28922
HARDWARE,NETWORK,33554432,4,2,2085834296459,15062
HARDWARE,NETWORK,33554432,4,4,1052405132555,8181
HARDWARE,NETWORK,33554432,4,8,563379733193,4912
HARDWARE,NETWORK,33554432,4,16,426163901920,3999
HARDWARE,NETWORK,33554432,4,32,421665275903,3975
HARDWARE,NETWORK,33554432,8,1,2086080076061,15067
HARDWARE,NETWORK,33554432,8,2,1044976685029,8137
HARDWARE,NETWORK,33554432,8,4,527465492249,4672
HARDWARE,NETWORK,33554432,8,8,282251217469,3044
HARDWARE,NETWORK,33554432,8,16,213132239624,2578
HARDWARE,NETWORK,33554432,8,32,210911119644,2572
