PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s)
HARDWARE,NETWORK-CYCLIC,1024,1,1,96157129,2
HARDWARE,NETWORK-CYCLIC,2048,1,1,229703562,3
HARDWARE,NETWORK-CYCLIC,4096,1,1,541716809,5
HARDWARE,NETWORK-CYCLIC,8192,1,1,1262320256,10
HARDWARE,NETWORK-CYCLIC,16384,1,1,2911000193,21
HARDWARE,NETWORK-CYCLIC,32768,1,1,6651257297,46
HARDWARE,NETWORK-CYCLIC,65536,1,1,15072472130,104
HARDWARE,NETWORK-CYCLIC,131072,1,1,33908146819,231
HARDWARE,NETWORK-CYCLIC,262144,1,1,75786781106,512
HARDWARE,NETWORK-CYCLIC,524288,1,1,168400776546,1135
HARDWARE,NETWORK-CYCLIC,1048576,1,1,372229860347,2504
HARDWARE,NETWORK-CYCLIC,2097152,1,1,818855986737,5502
HARDWARE,NETWORK-CYCLIC,1024,1,2,49025215,2
HARDWARE,NETWORK-CYCLIC,2048,1,2,116364547,2
HARDWARE,NETWORK-CYCLIC,4096,1,2,273462814,3
HARDWARE,NETWORK-CYCLIC,8192,1,2,636444941,6
HARDWARE,NETWORK-CYCLIC,16384,1,2,1466296119,11
HARDWARE,NETWORK-CYCLIC,32768,1,2,3349388761,24
HARDWARE,NETWORK-CYCLIC,65536,1,2,7588691015,54
HARDWARE,NETWORK-CYCLIC,131072,1,2,17075529867,118
HARDWARE,NETWORK-CYCLIC,262144,1,2,38150702616,261
HARDWARE,NETWORK-CYCLIC,524288,1,2,84775378823,577
HARDWARE,NETWORK-CYCLIC,1048576,1,2,187345306955,1271
HARDWARE,NETWORK-CYCLIC,2097152,1,2,412085647306,2790
HARDWARE,NETWORK-CYCLIC,1024,1,4,25472478,1
HARDWARE,NETWORK-CYCLIC,2048,1,4,59414475,2
HARDWARE,NETWORK-CYCLIC,4096,1,4,138422351,2
HARDWARE,NETWORK-CYCLIC,8192,1,4,320628344,4
HARDWARE,NETWORK-CYCLIC,16384,1,4,737153178,7
HARDWARE,NETWORK-CYCLIC,32768,1,4,1681768188,13
HARDWARE,NETWORK-CYCLIC,65536,1,4,3808462657,28
HARDWARE,NETWORK-CYCLIC,131072,1,4,8565001727,61
HARDWARE,NETWORK-CYCLIC,262144,1,4,19140680763,134
HARDWARE,NETWORK-CYCLIC,524288,1,4,42529883718,296
HARDWARE,NETWORK-CYCLIC,1048576,1,4,94007114438,649
HARDWARE,NETWORK-CYCLIC,2097152,1,4,206808396456,1421
HARDWARE,NETWORK-CYCLIC,1024,1,8,14640968,1
HARDWARE,NETWORK-CYCLIC,2048,1,8,32657180,2
HARDWARE,NETWORK-CYCLIC,4096,1,8,74226008,2
HARDWARE,NETWORK-CYCLIC,8192,1,8,169702633,3
HARDWARE,NETWORK-CYCLIC,16384,1,8,387674325,4
HARDWARE,NETWORK-CYCLIC,32768,1,8,881538699,8
HARDWARE,NETWORK-CYCLIC,65536,1,8,1993054036,16
HARDWARE,NETWORK-CYCLIC,131072,1,8,4478604638,34
HARDWARE,NETWORK-CYCLIC,262144,1,8,10004576568,74
HARDWARE,NETWORK-CYCLIC,524288,1,8,22225498992,161
HARDWARE,NETWORK-CYCLIC,1048576,1,8,49121626830,349
HARDWARE,NETWORK-CYCLIC,2097152,1,8,108058372828,763
HARDWARE,NETWORK-CYCLIC,1024,1,16,12319995,1
HARDWARE,NETWORK-CYCLIC,2048,1,16,25392611,1
HARDWARE,NETWORK-CYCLIC,4096,1,16,55125348,2
HARDWARE,NETWORK-CYCLIC,8192,1,16,122948681,2
HARDWARE,NETWORK-CYCLIC,16384,1,16,277139903,3
HARDWARE,NETWORK-CYCLIC,32768,1,16,625965905,6
HARDWARE,NETWORK-CYCLIC,65536,1,16,1410293148,12
HARDWARE,NETWORK-CYCLIC,131072,1,16,3163619807,25
HARDWARE,NETWORK-CYCLIC,262144,1,16,7060911773,54
HARDWARE,NETWORK-CYCLIC,524288,1,16,15679065637,116
HARDWARE,NETWORK-CYCLIC,1048576,1,16,34645697058,253
HARDWARE,NETWORK-CYCLIC,2097152,1,16,76206306795,550
HARDWARE,NETWORK-CYCLIC,1024,1,32,16919880,1
HARDWARE,NETWORK-CYCLIC,2048,1,32,30779703,2
HARDWARE,NETWORK-CYCLIC,4096,1,32,61076638,2
HARDWARE,NETWORK-CYCLIC,8192,1,32,129025868,2
HARDWARE,NETWORK-CYCLIC,16384,1,32,282276315,4
HARDWARE,NETWORK-CYCLIC,32768,1,32,627448673,6
HARDWARE,NETWORK-CYCLIC,65536,1,32,1402140860,12
HARDWARE,NETWORK-CYCLIC,131072,1,32,3132216289,25
HARDWARE,NETWORK-CYCLIC,262144,1,32,6976266379,53
HARDWARE,NETWORK-CYCLIC,524288,1,32,15474791789,115
HARDWARE,NETWORK-CYCLIC,1048576,1,32,34176559883,250
HARDWARE,NETWORK-CYCLIC,2097152,1,32,75154045425,543
HARDWARE,NETWORK-CYCLIC,1024,1,64,28193991,2
HARDWARE,NETWORK-CYCLIC,2048,1,64,55428425,2
HARDWARE,NETWORK-CYCLIC,4096,1,64,91223879,2
HARDWARE,NETWORK-CYCLIC,8192,1,64,167472462,3
