SORT TYPE,log 2,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s),,,,,,,,,
DYNAMIC,1,2,-1,-1,11428,1,,,,,,,,,
DYNAMIC,2,4,-1,-1,40473,1,,,,,,,,,
DYNAMIC,3,8,-1,-1,116793,1,,,,,,,,,
DYNAMIC,4,16,-1,-1,297967,1,,,,,,,,,
DYNAMIC,5,32,-1,-1,723896,1,,,,,,,,,
DYNAMIC,6,64,-1,-1,1704688,1,,,,,,,,,
DYNAMIC,7,128,-1,-1,3911080,1,,,,,,,,,
DYNAMIC,8,256,-1,-1,8839801,1,,,,,,,,,
DYNAMIC,9,512,-1,-1,19684656,2,,,,,,,,,
DYNAMIC,10,1024,-1,-1,43416126,2,,,,,,,,,
DYNAMIC,11,2048,-1,-1,94867047,2,,,,,,,,,
DYNAMIC,12,4096,-1,-1,205854781,3,,,,,,,,,
DYNAMIC,13,8192,-1,-1,444000567,5,,,,,,,,,
DYNAMIC,14,16384,-1,-1,952860007,8,,,,,,,,,
DYNAMIC,15,32768,-1,-1,2034684441,16,,,,,,,,,
DYNAMIC,16,65536,-1,-1,4327979913,31,,,,,,,,,
DYNAMIC,17,131072,-1,-1,9173579029,64,,,,,,,,,
DYNAMIC,18,262144,-1,-1,19382304565,134,,,,,,,,,
DYNAMIC,19,524288,-1,-1,40833397900,281,,,,,,,,,
DYNAMIC,20,1048576,-1,-1,85807499778,587,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,TRAIL 2,,,,
,,,TRAIL 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SORT TYPE,log 2,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s),,,SORT TYPE,log 2,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s)
NETWORK,1,2,1,1,22035,1,,,NETWORK,1,2,1,1,22037,1
NETWORK,1,2,1,2,23727,1,,,NETWORK,1,2,1,2,23749,1
NETWORK,1,2,1,4,23718,1,,,NETWORK,1,2,1,4,23796,1
NETWORK,1,2,1,8,23769,1,,,NETWORK,1,2,1,8,23799,1
NETWORK,1,2,1,16,23746,1,,,NETWORK,1,2,1,16,23799,1
NETWORK,1,2,1,32,23627,1,,,NETWORK,1,2,1,32,23709,1
NETWORK,1,2,2,1,30243,1,,,NETWORK,1,2,1,64,23601,1
NETWORK,1,2,2,2,30099,1,,,NETWORK,1,2,2,1,30288,1
NETWORK,1,2,2,4,30026,1,,,NETWORK,1,2,2,2,30020,1
NETWORK,1,2,2,8,30111,1,,,NETWORK,1,2,2,4,30273,1
NETWORK,1,2,2,16,30250,1,,,NETWORK,1,2,2,8,30119,1
NETWORK,1,2,2,32,30108,1,,,NETWORK,1,2,2,16,30212,1
NETWORK,1,2,4,1,RERUN,1,,,NETWORK,1,2,2,32,30105,1
NETWORK,1,2,4,2,RERUN,1,,,NETWORK,1,2,2,64,30071,1
NETWORK,1,2,4,4,RERUN,1,,,NETWORK,1,2,4,1,RERUN,1
NETWORK,1,2,4,8,RERUN,1,,,NETWORK,1,2,4,2,RERUN,1
NETWORK,1,2,4,16,RERUN,1,,,NETWORK,1,2,4,4,RERUN,1
NETWORK,1,2,4,32,RERUN,1,,,NETWORK,1,2,4,8,RERUN,1
NETWORK,1,2,8,1,RERUN,1,,,NETWORK,1,2,4,16,RERUN,1
NETWORK,1,2,8,2,RERUN,1,,,NETWORK,1,2,4,32,RERUN,1
NETWORK,1,2,8,4,RERUN,1,,,NETWORK,1,2,4,64,RERUN,1
NETWORK,1,2,8,8,RERUN,1,,,NETWORK,1,2,8,1,RERUN,1
NETWORK,1,2,8,16,RERUN,1,,,NETWORK,1,2,8,2,RERUN,1
NETWORK,1,2,8,32,RERUN,1,,,NETWORK,1,2,8,4,RERUN,1
NETWORK,2,4,1,1,70458,1,,,NETWORK,1,2,8,8,RERUN,1
NETWORK,2,4,1,2,71294,1,,,NETWORK,1,2,8,16,RERUN,1
NETWORK,2,4,1,4,85721,1,,,NETWORK,1,2,8,32,RERUN,1
NETWORK,2,4,1,8,85592,1,,,NETWORK,1,2,8,64,RERUN,1
NETWORK,2,4,1,16,85120,1,,,NETWORK,2,4,1,1,70268,1
NETWORK,2,4,1,32,85344,1,,,NETWORK,2,4,1,2,71402,1
NETWORK,2,4,2,1,79965,1,,,NETWORK,2,4,1,4,85062,1
NETWORK,2,4,2,2,86955,1,,,NETWORK,2,4,1,8,85421,1
NETWORK,2,4,2,4,86847,1,,,NETWORK,2,4,1,16,85559,1
NETWORK,2,4,2,8,86821,1,,,NETWORK,2,4,1,32,85881,1
NETWORK,2,4,2,16,86850,1,,,NETWORK,2,4,1,64,85749,1
NETWORK,2,4,2,32,86637,1,,,NETWORK,2,4,2,1,80051,1
NETWORK,2,4,4,1,100710,1,,,NETWORK,2,4,2,2,86705,1
NETWORK,2,4,4,2,100239,1,,,NETWORK,2,4,2,4,86853,1
NETWORK,2,4,4,4,100458,1,,,NETWORK,2,4,2,8,86711,1
NETWORK,2,4,4,8,100430,1,,,NETWORK,2,4,2,16,86756,1
NETWORK,2,4,4,16,100286,1,,,NETWORK,2,4,2,32,86759,1
NETWORK,2,4,4,32,100293,1,,,NETWORK,2,4,2,64,86673,1
NETWORK,2,4,8,1,RERUN,1,,,NETWORK,2,4,4,1,100593,1
NETWORK,2,4,8,2,RERUN,1,,,NETWORK,2,4,4,2,100315,1
NETWORK,2,4,8,4,RERUN,1,,,NETWORK,2,4,4,4,100208,1
NETWORK,2,4,8,8,RERUN,1,,,NETWORK,2,4,4,8,100242,1
NETWORK,2,4,8,16,RERUN,1,,,NETWORK,2,4,4,16,100545,1
NETWORK,2,4,8,32,RERUN,1,,,NETWORK,2,4,4,32,100428,1
NETWORK,3,8,1,1,168854,1,,,NETWORK,2,4,4,64,100161,1
NETWORK,3,8,1,2,156273,1,,,NETWORK,2,4,8,1,RERUN,1
NETWORK,3,8,1,4,171660,1,,,NETWORK,2,4,8,2,RERUN,1
NETWORK,3,8,1,8,239157,1,,,NETWORK,2,4,8,4,RERUN,1
NETWORK,3,8,1,16,240764,1,,,NETWORK,2,4,8,8,RERUN,1
NETWORK,3,8,1,32,237956,1,,,NETWORK,2,4,8,16,RERUN,1
NETWORK,3,8,2,1,167940,1,,,NETWORK,2,4,8,32,RERUN,1
NETWORK,3,8,2,2,173193,1,,,NETWORK,2,4,8,64,RERUN,1
NETWORK,3,8,2,4,200533,1,,,NETWORK,3,8,1,1,168944,1
NETWORK,3,8,2,8,200423,1,,,NETWORK,3,8,1,2,156395,1
NETWORK,3,8,2,16,200001,1,,,NETWORK,3,8,1,4,171189,1
NETWORK,3,8,2,32,200439,1,,,NETWORK,3,8,1,8,240203,1
NETWORK,3,8,4,1,200970,1,,,NETWORK,3,8,1,16,239708,1
NETWORK,3,8,4,2,214115,1,,,NETWORK,3,8,1,32,239306,1
NETWORK,3,8,4,4,213885,1,,,NETWORK,3,8,1,64,238653,1
NETWORK,3,8,4,8,213891,1,,,NETWORK,3,8,2,1,167449,1
NETWORK,3,8,4,16,213908,1,,,NETWORK,3,8,2,2,173042,1
NETWORK,3,8,4,32,213854,1,,,NETWORK,3,8,2,4,199803,1
NETWORK,3,8,8,1,290608,1,,,NETWORK,3,8,2,8,201000,1
NETWORK,3,8,8,2,289860,1,,,NETWORK,3,8,2,16,204254,1
NETWORK,3,8,8,4,290022,1,,,NETWORK,3,8,2,32,200996,1
NETWORK,3,8,8,8,289802,1,,,NETWORK,3,8,2,64,201653,1
NETWORK,3,8,8,16,289542,1,,,NETWORK,3,8,4,1,200627,1
NETWORK,3,8,8,32,290237,1,,,NETWORK,3,8,4,2,214081,1
NETWORK,4,16,1,1,379680,1,,,NETWORK,3,8,4,4,213720,1
NETWORK,4,16,1,2,309513,1,,,NETWORK,3,8,4,8,213836,1
NETWORK,4,16,1,4,313341,1,,,NETWORK,3,8,4,16,213659,1
NETWORK,4,16,1,8,441962,1,,,NETWORK,3,8,4,32,213728,1
NETWORK,4,16,1,16,718520,1,,,NETWORK,3,8,4,64,213905,1
NETWORK,4,16,1,32,750045,1,,,NETWORK,3,8,8,1,290015,1
NETWORK,4,16,2,1,324441,1,,,NETWORK,3,8,8,2,289862,1
NETWORK,4,16,2,2,306954,1,,,NETWORK,3,8,8,4,289914,1
NETWORK,4,16,2,4,330596,1,,,NETWORK,3,8,8,8,290124,1
NETWORK,4,16,2,8,450489,1,,,NETWORK,3,8,8,16,289719,1
NETWORK,4,16,2,16,466844,1,,,NETWORK,3,8,8,32,290134,1
NETWORK,4,16,2,32,462764,1,,,NETWORK,3,8,8,64,289985,1
NETWORK,4,16,4,1,354603,1,,,NETWORK,4,16,1,1,379985,1
NETWORK,4,16,4,2,362229,1,,,NETWORK,4,16,1,2,309953,1
NETWORK,4,16,4,4,410781,1,,,NETWORK,4,16,1,4,313954,1
NETWORK,4,16,4,8,412036,1,,,NETWORK,4,16,1,8,445454,1
NETWORK,4,16,4,16,413411,1,,,NETWORK,4,16,1,16,736406,1
NETWORK,4,16,4,32,409240,1,,,NETWORK,4,16,1,32,696239,1
NETWORK,4,16,8,1,473130,1,,,NETWORK,4,16,1,64,757485,1
NETWORK,4,16,8,2,506069,1,,,NETWORK,4,16,2,1,324684,1
NETWORK,4,16,8,4,506512,1,,,NETWORK,4,16,2,2,307408,1
NETWORK,4,16,8,8,509556,1,,,NETWORK,4,16,2,4,331002,1
NETWORK,4,16,8,16,506111,1,,,NETWORK,4,16,2,8,456320,1
NETWORK,4,16,8,32,505604,1,,,NETWORK,4,16,2,16,453422,1
NETWORK,5,32,1,1,866184,1,,,NETWORK,4,16,2,32,453984,1
NETWORK,5,32,1,2,613097,1,,,NETWORK,4,16,2,64,445297,1
NETWORK,5,32,1,4,549241,1,,,NETWORK,4,16,4,1,354497,1
NETWORK,5,32,1,8,699219,1,,,NETWORK,4,16,4,2,362388,1
NETWORK,5,32,1,16,1078461,1,,,NETWORK,4,16,4,4,414500,1
NETWORK,5,32,1,32,1726622,1,,,NETWORK,4,16,4,8,408296,1
NETWORK,5,32,2,1,633417,1,,,NETWORK,4,16,4,16,409046,1
NETWORK,5,32,2,2,532107,1,,,NETWORK,4,16,4,32,411739,1
NETWORK,5,32,2,4,537941,1,,,NETWORK,4,16,4,64,410814,1
NETWORK,5,32,2,8,723179,1,,,NETWORK,4,16,8,1,473400,1
NETWORK,5,32,2,16,1151894,1,,,NETWORK,4,16,8,2,506384,1
NETWORK,5,32,2,32,1147211,1,,,NETWORK,4,16,8,4,506393,1
NETWORK,5,32,4,1,603864,1,,,NETWORK,4,16,8,8,506518,1
NETWORK,5,32,4,2,576794,1,,,NETWORK,4,16,8,16,505983,1
NETWORK,5,32,4,4,610782,1,,,NETWORK,4,16,8,32,506124,1
NETWORK,5,32,4,8,809375,1,,,NETWORK,4,16,8,64,505604,1
NETWORK,5,32,4,16,794859,1,,,NETWORK,5,32,1,1,867665,1
NETWORK,5,32,4,32,804125,1,,,NETWORK,5,32,1,2,612455,1
NETWORK,5,32,8,1,771673,1,,,NETWORK,5,32,1,4,547989,1
NETWORK,5,32,8,2,792921,1,,,NETWORK,5,32,1,8,705333,1
NETWORK,5,32,8,4,897773,1,,,NETWORK,5,32,1,16,1090293,1
NETWORK,5,32,8,8,899918,1,,,NETWORK,5,32,1,32,1857860,1
NETWORK,5,32,8,16,895838,1,,,NETWORK,5,32,1,64,1835218,1
NETWORK,5,32,8,32,892129,1,,,NETWORK,5,32,2,1,633530,1
NETWORK,6,64,1,1,2058494,1,,,NETWORK,5,32,2,2,531465,1
NETWORK,6,64,1,2,1278579,1,,,NETWORK,5,32,2,4,539132,1
NETWORK,6,64,1,4,978472,1,,,NETWORK,5,32,2,8,728630,1
NETWORK,6,64,1,8,1024917,1,,,NETWORK,5,32,2,16,1058554,1
NETWORK,6,64,1,16,1583838,1,,,NETWORK,5,32,2,32,1081707,1
NETWORK,6,64,1,32,2528708,1,,,NETWORK,5,32,2,64,1159820,1
NETWORK,6,64,2,1,1305491,1,,,NETWORK,5,32,4,1,603249,1
NETWORK,6,64,2,2,951453,1,,,NETWORK,5,32,4,2,576951,1
NETWORK,6,64,2,4,860282,1,,,NETWORK,5,32,4,4,611543,1
NETWORK,6,64,2,8,1064520,1,,,NETWORK,5,32,4,8,796566,1
NETWORK,6,64,2,16,1589052,1,,,NETWORK,5,32,4,16,823355,1
NETWORK,6,64,2,32,2621306,1,,,NETWORK,5,32,4,32,788354,1
NETWORK,6,64,4,1,1056059,1,,,NETWORK,5,32,4,64,806750,1
NETWORK,6,64,4,2,911987,1,,,NETWORK,5,32,8,1,768507,1
NETWORK,6,64,4,4,918713,1,,,NETWORK,5,32,8,2,794415,1
NETWORK,6,64,4,8,1195023,1,,,NETWORK,5,32,8,4,887771,1
NETWORK,6,64,4,16,1646891,1,,,NETWORK,5,32,8,8,899377,1
NETWORK,6,64,4,32,1706501,1,,,NETWORK,5,32,8,16,888093,1
NETWORK,6,64,8,1,1171772,1,,,NETWORK,5,32,8,32,901103,1
NETWORK,6,64,8,2,1137969,1,,,NETWORK,5,32,8,64,899822,1
NETWORK,6,64,8,4,1260894,1,,,NETWORK,6,64,1,1,2058028,1
NETWORK,6,64,8,8,1616010,1,,,NETWORK,6,64,1,2,1280016,1
NETWORK,6,64,8,16,1603571,1,,,NETWORK,6,64,1,4,977736,1
NETWORK,6,64,8,32,1585883,1,,,NETWORK,6,64,1,8,1023993,1
NETWORK,7,128,1,1,5003174,1,,,NETWORK,6,64,1,16,1598064,1
NETWORK,7,128,1,2,2844558,1,,,NETWORK,6,64,1,32,2526771,1
NETWORK,7,128,1,4,1882067,1,,,NETWORK,6,64,1,64,5138436,1
NETWORK,7,128,1,8,1676729,1,,,NETWORK,6,64,2,1,1304762,1
NETWORK,7,128,1,16,2374716,1,,,NETWORK,6,64,2,2,952644,1
NETWORK,7,128,1,32,3615455,1,,,NETWORK,6,64,2,4,856368,1
NETWORK,7,128,2,1,2866199,1,,,NETWORK,6,64,2,8,1062782,1
NETWORK,7,128,2,2,1834559,1,,,NETWORK,6,64,2,16,1573211,1
NETWORK,7,128,2,4,1426569,1,,,NETWORK,6,64,2,32,2539090,1
NETWORK,7,128,2,8,1475708,1,,,NETWORK,6,64,2,64,2619125,1
