SingleOrMulti,NormalOrRecOrRecLinear,lgN,RemapThreads,ComparisonThreads,SmartOrDumb,DatasetSize,NumNodes,lgN,lgP,lgE,starttime,startnlet1,endTime,endnlet2,Clock or Ticks is endtime sub startime,TotalTime,Result,real,user,sys
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,0,Smart,16,8,4,3,1,6.62E+11,0,6.62E+11,0,,3.242977,PASS,"real	0m34.668s","user	0m34.014s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,0,Dumb,16,8,4,3,1,6.69E+11,0,6.69E+11,0,,1.771645,PASS,"real	0m34.665s","user	0m34.027s","sys	0m0.617s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,1,Smart,16,8,4,3,1,6.75E+11,0,6.75E+11,0,,3.243822,PASS,"real	0m34.663s","user	0m34.019s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,1,Dumb,16,8,4,3,1,6.82E+11,0,6.82E+11,0,,1.853479,PASS,"real	0m34.662s","user	0m34.011s","sys	0m0.619s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,2,Smart,16,8,4,3,1,6.89E+11,0,6.89E+11,0,,3.243451,PASS,"real	0m34.664s","user	0m34.022s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,2,Dumb,16,8,4,3,1,6.96E+11,0,6.96E+11,0,,1.770822,PASS,"real	0m34.666s","user	0m34.012s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,3,Smart,16,8,4,3,1,7.02E+11,0,7.02E+11,0,,3.244525,PASS,"real	0m34.658s","user	0m34.010s","sys	0m0.614s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,3,Dumb,16,8,4,3,1,7.09E+11,0,7.09E+11,0,,1.77088,PASS,"real	0m34.652s","user	0m34.019s","sys	0m0.604s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,4,Smart,16,8,4,3,1,7.16E+11,0,7.16E+11,0,,3.244485,PASS,"real	0m34.662s","user	0m34.019s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,0,4,Dumb,16,8,4,3,1,7.23E+11,0,7.23E+11,0,,1.77096,PASS,"real	0m34.660s","user	0m34.021s","sys	0m0.615s"
