NUM ELEMENTS,TOTAL CYCLES,L1 LDM,L2 LDM,L3 LDM
2,468195,4231,1519,47
4,480607,4280,1513,67
8,484427,4280,1533,46
16,503808,4188,1522,51
32,533792,4389,1536,49
64,583714,4312,1546,58
128,925728,4432,1661,67
256,1798848,4700,1732,73
512,1725850,4841,1767,95
1024,2890241,5510,1934,173
2048,4866188,6286,1973,206
4096,9415627,9384,2337,456
8192,18534775,45100,3365,536
16384,40110086,38740,6181,1805
32768,80904009,74714,11864,3297
65536,174435636,203973,59870,17072
131072,362983535,521695,202628,39902
262144,782474202,1370183,734467,107986
524288,1697184645,3338850,1898347,334102
1048576,3692160134,7968905,4605014,849891
2097152,7967566746,18039749,10534553,1961834
4194304,16728105865,39888500,23083430,4166564
8388608,35486295221,88511904,49993894,9349926
16777216,74953361709,191957836,109097346,22590985
33554432,156021910495,415906719,233711219,45762360
67108864,324031822436,892430465,495326631,97150978
134217728,668994021874,1923527420,1044512653,200321688
268435456,1369240742284,4007596021,2160965280,416931571
536870912,2766629944926,8307224419,4433173476,866002287
1073741824,5728806684272,17657425143,9456654386,1843846386
2147483648,11592938609994,36104233468,19334527056,3915425734
4294967296,23855067029346,76012114172,40650126184,8045122017
