PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s)
HARDWARE,DYNAMIC,2,-1,-1,11428,1
HARDWARE,DYNAMIC,4,-1,-1,40473,1
HARDWARE,DYNAMIC,8,-1,-1,116793,1
HARDWARE,DYNAMIC,16,-1,-1,297967,1
HARDWARE,DYNAMIC,32,-1,-1,723896,1
HARDWARE,DYNAMIC,64,-1,-1,1704688,1
HARDWARE,DYNAMIC,128,-1,-1,3911080,1
HARDWARE,DYNAMIC,256,-1,-1,8839801,1
HARDWARE,DYNAMIC,512,-1,-1,19684656,2
HARDWARE,DYNAMIC,1024,-1,-1,43416126,2
HARDWARE,DYNAMIC,2048,-1,-1,94867047,2
HARDWARE,DYNAMIC,4096,-1,-1,205854781,3
HARDWARE,DYNAMIC,8192,-1,-1,444000567,5
HARDWARE,DYNAMIC,16384,-1,-1,952860007,8
HARDWARE,DYNAMIC,32768,-1,-1,2034684441,16
HARDWARE,DYNAMIC,65536,-1,-1,4327979913,31
HARDWARE,DYNAMIC,131072,-1,-1,9173579029,64
HARDWARE,DYNAMIC,262144,-1,-1,19382304565,134
HARDWARE,DYNAMIC,524288,-1,-1,40833397900,281
HARDWARE,DYNAMIC,1048576,-1,-1,85807499778,587
HARDWARE,DYNAMIC,2097152,-1,-1,179941118835,1229
HARDWARE,DYNAMIC,4194304,-1,-1,376477227846,2567
