PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,WALL CLOCK TIME (s)
HARDWARE,NETWORK,2,1,1,22037,1
HARDWARE,NETWORK,4,1,1,70268,1
HARDWARE,NETWORK,8,1,1,168944,1
HARDWARE,NETWORK,16,1,1,379985,1
HARDWARE,NETWORK,32,1,1,867665,1
HARDWARE,NETWORK,64,1,1,2058028,1
HARDWARE,NETWORK,128,1,1,5003468,1
HARDWARE,NETWORK,256,1,1,12276230,1
HARDWARE,NETWORK,512,1,1,29944925,2
HARDWARE,NETWORK,1024,1,1,72287918,2
HARDWARE,NETWORK,2048,1,1,172394499,3
HARDWARE,NETWORK,4096,1,1,406177374,4
HARDWARE,NETWORK,8192,1,1,946144187,8
HARDWARE,NETWORK,16384,1,1,2181507167,16
HARDWARE,NETWORK,32768,1,1,4984096760,35
HARDWARE,NETWORK,65536,1,1,11294268551,79
HARDWARE,NETWORK,131072,1,1,25408306125,174
HARDWARE,NETWORK,262144,1,1,56789551794,385
HARDWARE,NETWORK,524288,1,1,126190326233,853
HARDWARE,NETWORK,1048576,1,1,278932147211,1882
HARDWARE,NETWORK,2,1,2,23749,1
HARDWARE,NETWORK,4,1,2,71402,1
HARDWARE,NETWORK,8,1,2,156395,1
HARDWARE,NETWORK,16,1,2,309953,1
HARDWARE,NETWORK,32,1,2,612455,1
HARDWARE,NETWORK,64,1,2,1280016,1
HARDWARE,NETWORK,128,1,2,2844402,1
HARDWARE,NETWORK,256,1,2,6584298,1
HARDWARE,NETWORK,512,1,2,15549768,1
HARDWARE,NETWORK,1024,1,2,36899477,2
HARDWARE,NETWORK,2048,1,2,87235037,2
HARDWARE,NETWORK,4096,1,2,204636114,3
HARDWARE,NETWORK,8192,1,2,475632305,5
HARDWARE,NETWORK,16384,1,2,1095407264,9
HARDWARE,NETWORK,32768,1,2,2501555802,19
HARDWARE,NETWORK,65536,1,2,5667260852,41
HARDWARE,NETWORK,131072,1,2,12748123106,89
HARDWARE,NETWORK,262144,1,2,28492300526,197
HARDWARE,NETWORK,524288,1,2,63312933149,434
HARDWARE,NETWORK,1048576,1,2,139944960515,955
HARDWARE,NETWORK,2,1,4,23796,1
HARDWARE,NETWORK,4,1,4,85062,1
HARDWARE,NETWORK,8,1,4,171189,1
HARDWARE,NETWORK,16,1,4,313954,1
HARDWARE,NETWORK,32,1,4,547989,1
HARDWARE,NETWORK,64,1,4,977736,1
HARDWARE,NETWORK,128,1,4,1882782,1
HARDWARE,NETWORK,256,1,4,3895091,1
HARDWARE,NETWORK,512,1,4,8563349,1
HARDWARE,NETWORK,1024,1,4,19493093,1
HARDWARE,NETWORK,2048,1,4,45043505,2
HARDWARE,NETWORK,4096,1,4,104469539,2
HARDWARE,NETWORK,8192,1,4,241385627,3
HARDWARE,NETWORK,16384,1,4,554487434,5
HARDWARE,NETWORK,32768,1,4,1264582556,10
HARDWARE,NETWORK,65536,1,4,2866619535,22
HARDWARE,NETWORK,131072,1,4,6449501927,47
HARDWARE,NETWORK,262144,1,4,14461010024,104
HARDWARE,NETWORK,524288,1,4,32150654367,227
HARDWARE,NETWORK,1048576,1,4,71471944757,499
HARDWARE,NETWORK,2,1,8,23799,1
HARDWARE,NETWORK,4,1,8,85421,1
HARDWARE,NETWORK,8,1,8,240203,1
HARDWARE,NETWORK,16,1,8,445454,1
HARDWARE,NETWORK,32,1,8,705333,1
HARDWARE,NETWORK,64,1,8,1023993,1
HARDWARE,NETWORK,128,1,8,1672452,1
HARDWARE,NETWORK,256,1,8,2930118,1
HARDWARE,NETWORK,512,1,8,5594131,1
HARDWARE,NETWORK,1024,1,8,11566166,1
HARDWARE,NETWORK,2048,1,8,25240746,2
HARDWARE,NETWORK,4096,1,8,56680176,2
HARDWARE,NETWORK,8192,1,8,128810006,2
HARDWARE,NETWORK,16384,1,8,293216950,4
HARDWARE,NETWORK,32768,1,8,665651357,6
HARDWARE,NETWORK,65536,1,8,1503702128,13
HARDWARE,NETWORK,131072,1,8,3377359656,27
HARDWARE,NETWORK,262144,1,8,7542975560,57
HARDWARE,NETWORK,524288,1,8,16755586247,124
HARDWARE,NETWORK,1048576,1,8,37032094478,269
HARDWARE,NETWORK,2,1,16,23799,1
HARDWARE,NETWORK,4,1,16,85559,1
HARDWARE,NETWORK,8,1,16,239708,1
HARDWARE,NETWORK,16,1,16,736406,1
HARDWARE,NETWORK,32,1,16,1090293,1
HARDWARE,NETWORK,64,1,16,1598064,1
HARDWARE,NETWORK,128,1,16,2394222,1
HARDWARE,NETWORK,256,1,16,3396701,1
HARDWARE,NETWORK,512,1,16,5298975,1
HARDWARE,NETWORK,1024,1,16,9169704,1
HARDWARE,NETWORK,2048,1,16,17470807,1
HARDWARE,NETWORK,4096,1,16,35926735,2
HARDWARE,NETWORK,8192,1,16,77566389,2
HARDWARE,NETWORK,16384,1,16,171741539,3
HARDWARE,NETWORK,32768,1,16,384329093,5
HARDWARE,NETWORK,65536,1,16,861950831,8
HARDWARE,NETWORK,131072,1,16,1928707625,17
HARDWARE,NETWORK,262144,1,16,4299517082,35
HARDWARE,NETWORK,524288,1,16,9541294601,75
HARDWARE,NETWORK,1048576,1,16,21076206922,163
HARDWARE,NETWORK,2,1,32,23709,1
HARDWARE,NETWORK,4,1,32,85881,1
HARDWARE,NETWORK,8,1,32,239306,1
HARDWARE,NETWORK,16,1,32,696239,1
HARDWARE,NETWORK,32,1,32,1857860,1
HARDWARE,NETWORK,64,1,32,2526771,1
HARDWARE,NETWORK,128,1,32,3619242,1
HARDWARE,NETWORK,256,1,32,5591417,1
HARDWARE,NETWORK,512,1,32,8588276,1
HARDWARE,NETWORK,1024,1,32,13791530,2
HARDWARE,NETWORK,2048,1,32,22278996,2
HARDWARE,NETWORK,4096,1,32,40012101,2
HARDWARE,NETWORK,8192,1,32,78516842,2
HARDWARE,NETWORK,16384,1,32,164106114,3
HARDWARE,NETWORK,32768,1,32,355543284,4
HARDWARE,NETWORK,65536,1,32,784018571,8
HARDWARE,NETWORK,131072,1,32,1739237417,15
HARDWARE,NETWORK,262144,1,32,3859885690,32
HARDWARE,NETWORK,524288,1,32,8546996855,68
HARDWARE,NETWORK,1048576,1,32,18860405333,148
HARDWARE,NETWORK,2,1,64,23601,1
HARDWARE,NETWORK,4,1,64,85749,1
HARDWARE,NETWORK,8,1,64,238653,1
HARDWARE,NETWORK,16,1,64,757485,1
HARDWARE,NETWORK,32,1,64,1835218,1
HARDWARE,NETWORK,64,1,64,5138436,1
HARDWARE,NETWORK,128,1,64,6155297,2
HARDWARE,NETWORK,256,1,64,8948847,2
HARDWARE,NETWORK,512,1,64,13613737,2
HARDWARE,NETWORK,1024,1,64,20254089,2
HARDWARE,NETWORK,2048,1,64,37496979,2
HARDWARE,NETWORK,4096,1,64,69422406,2
HARDWARE,NETWORK,8192,1,64,113307027,2
HARDWARE,NETWORK,16384,1,64,204558879,3
HARDWARE,NETWORK,32768,1,64,402060741,5
HARDWARE,NETWORK,65536,1,64,838044179,8
HARDWARE,NETWORK,131072,1,64,1802202566,16
HARDWARE,NETWORK,262144,1,64,3936825495,33
HARDWARE,NETWORK,524288,1,64,8646045746,69
HARDWARE,NETWORK,1048576,1,64,18998875571,149
HARDWARE,NETWORK,2,2,1,30288,1
HARDWARE,NETWORK,4,2,1,80051,1
HARDWARE,NETWORK,8,2,1,167449,1
HARDWARE,NETWORK,16,2,1,324684,1
HARDWARE,NETWORK,32,2,1,633530,1
HARDWARE,NETWORK,64,2,1,1304762,1
HARDWARE,NETWORK,128,2,1,2866827,1
HARDWARE,NETWORK,256,2,1,6598545,1
HARDWARE,NETWORK,512,2,1,15566513,1
HARDWARE,NETWORK,1024,2,1,36922292,2
HARDWARE,NETWORK,2048,2,1,87227210,2
HARDWARE,NETWORK,4096,2,1,204518089,3
HARDWARE,NETWORK,8192,2,1,475146126,5
HARDWARE,NETWORK,16384,2,1,1094033884,9
HARDWARE,NETWORK,32768,2,1,2497572533,19
HARDWARE,NETWORK,65536,2,1,5657061251,41
HARDWARE,NETWORK,131072,2,1,12722852273,90
HARDWARE,NETWORK,262144,2,1,28430816514,197
HARDWARE,NETWORK,524288,2,1,63165760816,433
HARDWARE,NETWORK,1048576,2,1,139605821714,953
HARDWARE,NETWORK,2,2,2,30020,1
HARDWARE,NETWORK,4,2,2,86705,1
HARDWARE,NETWORK,8,2,2,173042,1
HARDWARE,NETWORK,16,2,2,307408,1
HARDWARE,NETWORK,32,2,2,531465,1
HARDWARE,NETWORK,64,2,2,952644,1
HARDWARE,NETWORK,128,2,2,1830958,1
HARDWARE,NETWORK,256,2,2,3822720,1
HARDWARE,NETWORK,512,2,2,8440767,1
HARDWARE,NETWORK,1024,2,2,19276528,1
HARDWARE,NETWORK,2048,2,2,44633510,2
HARDWARE,NETWORK,4096,2,2,103554992,2
HARDWARE,NETWORK,8192,2,2,239419712,3
HARDWARE,NETWORK,16384,2,2,549934940,5
HARDWARE,NETWORK,32768,2,2,1254133715,10
HARDWARE,NETWORK,65536,2,2,2839275290,22
HARDWARE,NETWORK,131072,2,2,6384192737,47
HARDWARE,NETWORK,262144,2,2,14264526046,102
HARDWARE,NETWORK,524288,2,2,31691396346,223
HARDWARE,NETWORK,1048576,2,2,70041935411,489
HARDWARE,NETWORK,2,2,4,30273,1
HARDWARE,NETWORK,4,2,4,86853,1
HARDWARE,NETWORK,8,2,4,199803,1
HARDWARE,NETWORK,16,2,4,331002,1
HARDWARE,NETWORK,32,2,4,539132,1
HARDWARE,NETWORK,64,2,4,856368,1
HARDWARE,NETWORK,128,2,4,1426211,1
HARDWARE,NETWORK,256,2,4,2576663,1
HARDWARE,NETWORK,512,2,4,5069626,1
HARDWARE,NETWORK,1024,2,4,10715951,1
HARDWARE,NETWORK,2048,2,4,23699195,2
HARDWARE,NETWORK,4096,2,4,53642618,2
HARDWARE,NETWORK,8192,2,4,122360430,2
HARDWARE,NETWORK,16384,2,4,279482063,4
HARDWARE,NETWORK,32768,2,4,635178902,6
HARDWARE,NETWORK,65536,2,4,1436995328,12
HARDWARE,NETWORK,131072,2,4,3235364048,25
HARDWARE,NETWORK,262144,2,4,7227450695,55
HARDWARE,NETWORK,524288,2,4,16105430999,119
HARDWARE,NETWORK,1048576,2,4,35689565612,260
HARDWARE,NETWORK,2,2,8,30119,1
HARDWARE,NETWORK,4,2,8,86711,1
HARDWARE,NETWORK,8,2,8,201000,1
HARDWARE,NETWORK,16,2,8,456320,1
HARDWARE,NETWORK,32,2,8,728630,1
HARDWARE,NETWORK,64,2,8,1062782,1
HARDWARE,NETWORK,128,2,8,1480487,1
HARDWARE,NETWORK,256,2,8,2295950,1
HARDWARE,NETWORK,512,2,8,3839439,1
HARDWARE,NETWORK,1024,2,8,7065621,1
HARDWARE,NETWORK,2048,2,8,14164971,1
HARDWARE,NETWORK,4096,2,8,30180668,2
HARDWARE,NETWORK,8192,2,8,66558992,2
HARDWARE,NETWORK,16384,2,8,149134274,3
HARDWARE,NETWORK,32768,2,8,335823032,4
HARDWARE,NETWORK,65536,2,8,755565902,8
HARDWARE,NETWORK,131072,2,8,1693579183,15
HARDWARE,NETWORK,262144,2,8,3778664774,32
HARDWARE,NETWORK,524288,2,8,8388749365,68
HARDWARE,NETWORK,1048576,2,8,18534702962,146
HARDWARE,NETWORK,2,2,16,30212,1
HARDWARE,NETWORK,4,2,16,86756,1
HARDWARE,NETWORK,8,2,16,204254,1
HARDWARE,NETWORK,16,2,16,453422,1
HARDWARE,NETWORK,32,2,16,1058554,1
HARDWARE,NETWORK,64,2,16,1573211,1
HARDWARE,NETWORK,128,2,16,2249840,1
HARDWARE,NETWORK,256,2,16,3208007,1
HARDWARE,NETWORK,512,2,16,4466717,1
HARDWARE,NETWORK,1024,2,16,6720252,1
HARDWARE,NETWORK,2048,2,16,11266601,2
HARDWARE,NETWORK,4096,2,16,20957576,2
HARDWARE,NETWORK,8192,2,16,42283541,2
HARDWARE,NETWORK,16384,2,16,89910284,2
HARDWARE,NETWORK,32768,2,16,196779668,3
HARDWARE,NETWORK,65536,2,16,436191857,5
HARDWARE,NETWORK,131072,2,16,970760384,10
HARDWARE,NETWORK,262144,2,16,2157722594,21
