PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,TOTAL THREADS CREATED,TOTAL THREAD MIGRATIONS,SIM WALL CLOCK TIME (s)
SIMULATOR,DYNAMIC,2,-1,-1,10099,1,2,3
SIMULATOR,DYNAMIC,4,-1,-1,36483,5,15,3
SIMULATOR,DYNAMIC,8,-1,-1,106089,17,66,4
SIMULATOR,DYNAMIC,16,-1,-1,274077,49,196,5
SIMULATOR,DYNAMIC,32,-1,-1,669321,129,536,8
SIMULATOR,DYNAMIC,64,-1,-1,1578403,321,1392,15
SIMULATOR,DYNAMIC,128,-1,-1,3622475,769,3488,31
SIMULATOR,DYNAMIC,256,-1,-1,8193281,1793,8512,67
SIMULATOR,DYNAMIC,512,-1,-1,18252163,4097,20352,146
SIMULATOR,DYNAMIC,1024,-1,-1,40231993,9217,47872,322
SIMULATOR,DYNAMIC,2048,-1,-1,87968825,20481,111104,693
SIMULATOR,DYNAMIC,4096,-1,-1,190852115,45057,254976,1521
SIMULATOR,DYNAMIC,8192,-1,-1,411606671,98305,579584,3246
SIMULATOR,DYNAMIC,16384,-1,-1,883137667,212993,1306624,7036
SIMULATOR,DYNAMIC,32768,-1,-1,1885867169,458753,2924544,15032
SIMULATOR,DYNAMIC,65536,-1,-1,4011480621,983041,6504448,31899
SIMULATOR,DYNAMIC,131072,-1,-1,8502529923,2097153,14385152,67332
SIMULATOR,DYNAMIC,262144,-1,-1,-99,4456449,31653888,179194,180000
