PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,TOTAL THREADS CREATED,TOTAL THREAD MIGRATIONS,SIM WALL CLOCK TIME (s)
SIMULATOR,NETWORK-CYCLIC,1024,1,32,8983743,1815,0,76
SIMULATOR,NETWORK-CYCLIC,2048,1,32,15459632,2178,0,132
SIMULATOR,NETWORK-CYCLIC,4096,1,32,29388381,2574,0,247
SIMULATOR,NETWORK-CYCLIC,8192,1,32,60199421,3003,0,506
SIMULATOR,NETWORK-CYCLIC,16384,1,32,129177953,3465,0,1092
SIMULATOR,NETWORK-CYCLIC,1024,2,32,7943641,3630,76965,71
SIMULATOR,NETWORK-CYCLIC,2048,2,32,11412121,4356,180422,102
SIMULATOR,NETWORK-CYCLIC,4096,2,32,19218209,5148,418026,175
SIMULATOR,NETWORK-CYCLIC,8192,2,32,35809581,6006,958737,325
SIMULATOR,NETWORK-CYCLIC,16384,2,32,72120671,6930,2179387,658
SIMULATOR,NETWORK-CYCLIC,1024,4,32,7614423,7260,123887,71
SIMULATOR,NETWORK-CYCLIC,2048,4,32,10425820,8712,289362,100
SIMULATOR,NETWORK-CYCLIC,4096,4,32,14838937,10296,668350,146
SIMULATOR,NETWORK-CYCLIC,8192,4,32,25051549,12012,1528627,252
SIMULATOR,NETWORK-CYCLIC,16384,4,32,46452127,13860,3466161,466
SIMULATOR,NETWORK-CYCLIC,1024,8,32,8084433,14520,155011,79
SIMULATOR,NETWORK-CYCLIC,2048,8,32,10296982,17424,360810,105
SIMULATOR,NETWORK-CYCLIC,4096,8,32,13828847,20592,831078,148
SIMULATOR,NETWORK-CYCLIC,8192,8,32,19549021,24024,1896311,218
SIMULATOR,NETWORK-CYCLIC,16384,8,32,32470563,27720,4290717,374
SIMULATOR,NETWORK-CYCLIC,32768,8,32,59358253,31680,9636312,809
SIMULATOR,NETWORK-CYCLIC,65536,8,32,117360133,35904,21498664,1612
SIMULATOR,NETWORK-CYCLIC,131072,8,32,243227263,40392,47680653,3335
SIMULATOR,NETWORK-CYCLIC,262144,8,32,518169541,45144,105188871,7047
SIMULATOR,NETWORK-CYCLIC,524288,8,32,1118167659,50160,230952854,15495
SIMULATOR,NETWORK-CYCLIC,1048576,8,32,2426111709,55440,504893754,33875
