PLATFORM,SORT TYPE,NUM ELEMENTS,NUM NODES,NUM THREADS,TOTAL CYCLES,TOTAL THREADS CREATED,TOTAL THREAD MIGRATIONS,SIM WALL CLOCK TIME (s),
SIMULATOR,NETWORK,2,1,1,19589,2,0,4,
SIMULATOR,NETWORK,2,1,2,21337,3,0,5,
SIMULATOR,NETWORK,2,1,4,21301,3,0,4,
SIMULATOR,NETWORK,2,1,8,21301,3,0,4,
SIMULATOR,NETWORK,2,1,16,21301,3,0,4,
SIMULATOR,NETWORK,2,1,32,21301,3,0,4,
SIMULATOR,NETWORK,2,1,64,21301,3,0,4,
SIMULATOR,NETWORK,2,2,1,27181,4,7,4,
SIMULATOR,NETWORK,2,2,2,27145,4,7,4,
SIMULATOR,NETWORK,2,2,4,27145,4,7,4,
SIMULATOR,NETWORK,2,2,8,27145,4,7,4,
SIMULATOR,NETWORK,2,2,16,27145,4,7,4,
SIMULATOR,NETWORK,2,2,32,27145,4,7,5,
SIMULATOR,NETWORK,2,2,64,27145,4,7,4,
SIMULATOR,NETWORK,2,4,1,-99,0,0,0,
SIMULATOR,NETWORK,2,4,2,-99,0,0,0,
SIMULATOR,NETWORK,2,4,4,-99,0,0,0,
SIMULATOR,NETWORK,2,4,8,-99,0,0,0,
SIMULATOR,NETWORK,2,4,16,-99,0,0,0,
SIMULATOR,NETWORK,2,4,32,-99,0,0,0,
SIMULATOR,NETWORK,2,4,64,-99,0,0,0,
SIMULATOR,NETWORK,2,8,1,-99,0,0,0,
SIMULATOR,NETWORK,2,8,2,-99,0,0,0,
SIMULATOR,NETWORK,2,8,4,-99,0,0,0,
SIMULATOR,NETWORK,2,8,8,-99,0,0,0,
SIMULATOR,NETWORK,2,8,16,-99,0,0,0,
SIMULATOR,NETWORK,2,8,32,-99,0,0,0,
SIMULATOR,NETWORK,2,8,64,-99,0,0,0,
SIMULATOR,NETWORK,4,1,1,64201,6,0,4,
SIMULATOR,NETWORK,4,1,2,65437,9,0,5,
SIMULATOR,NETWORK,4,1,4,78005,15,0,4,
SIMULATOR,NETWORK,4,1,8,77895,15,0,5,
SIMULATOR,NETWORK,4,1,16,77895,15,0,4,
SIMULATOR,NETWORK,4,1,32,77895,15,0,5,
SIMULATOR,NETWORK,4,1,64,77895,15,0,4,
SIMULATOR,NETWORK,4,2,1,73357,12,17,5,
SIMULATOR,NETWORK,4,2,2,80563,18,17,4,
SIMULATOR,NETWORK,4,2,4,80451,18,17,5,
SIMULATOR,NETWORK,4,2,8,80451,18,17,4,
SIMULATOR,NETWORK,4,2,16,80451,18,17,4,
SIMULATOR,NETWORK,4,2,32,80451,18,17,5,
SIMULATOR,NETWORK,4,2,64,80451,18,17,5,
SIMULATOR,NETWORK,4,4,1,92957,24,51,5,
SIMULATOR,NETWORK,4,4,2,92857,24,51,4,
SIMULATOR,NETWORK,4,4,4,92857,24,51,5,
SIMULATOR,NETWORK,4,4,8,92857,24,51,5,
SIMULATOR,NETWORK,4,4,16,92857,24,51,5,
SIMULATOR,NETWORK,4,4,32,92857,24,51,5,
SIMULATOR,NETWORK,4,4,64,92857,24,51,5,
SIMULATOR,NETWORK,4,8,1,-99,0,0,0,
SIMULATOR,NETWORK,4,8,2,-99,0,0,0,
SIMULATOR,NETWORK,4,8,4,-99,0,0,0,
SIMULATOR,NETWORK,4,8,8,-99,0,0,0,
SIMULATOR,NETWORK,4,8,16,-99,0,0,0,
SIMULATOR,NETWORK,4,8,32,-99,0,0,0,
SIMULATOR,NETWORK,4,8,64,-99,0,0,0,
SIMULATOR,NETWORK,8,1,1,154439,12,0,5,
SIMULATOR,NETWORK,8,1,2,143405,18,0,6,
SIMULATOR,NETWORK,8,1,4,158077,30,0,5,
SIMULATOR,NETWORK,8,1,8,215031,54,0,6,
SIMULATOR,NETWORK,8,1,16,214797,54,0,6,
SIMULATOR,NETWORK,8,1,32,214797,54,0,5,
SIMULATOR,NETWORK,8,1,64,214797,54,0,6,
SIMULATOR,NETWORK,8,2,1,154237,24,34,5,
SIMULATOR,NETWORK,8,2,2,160301,36,34,5,
SIMULATOR,NETWORK,8,2,4,185437,60,34,6,
SIMULATOR,NETWORK,8,2,8,185233,60,34,5,
SIMULATOR,NETWORK,8,2,16,185233,60,34,5,
SIMULATOR,NETWORK,8,2,32,185233,60,34,6,
SIMULATOR,NETWORK,8,2,64,185233,60,34,6,
SIMULATOR,NETWORK,8,4,1,186685,48,102,5,
SIMULATOR,NETWORK,8,4,2,202655,72,102,6,
SIMULATOR,NETWORK,8,4,4,202441,72,102,5,
SIMULATOR,NETWORK,8,4,8,202441,72,102,6,
SIMULATOR,NETWORK,8,4,16,202441,72,102,6,
SIMULATOR,NETWORK,8,4,32,202441,72,102,5,
SIMULATOR,NETWORK,8,4,64,202441,72,102,6,
SIMULATOR,NETWORK,8,8,1,269463,96,222,6,
SIMULATOR,NETWORK,8,8,2,268785,96,222,7,
SIMULATOR,NETWORK,8,8,4,268785,96,222,6,
SIMULATOR,NETWORK,8,8,8,268785,96,222,6,
SIMULATOR,NETWORK,8,8,16,268785,96,222,7,
SIMULATOR,NETWORK,8,8,32,268785,96,222,6,
SIMULATOR,NETWORK,8,8,64,268785,96,222,6,
SIMULATOR,NETWORK,16,1,1,346597,20,0,7,
SIMULATOR,NETWORK,16,1,2,283101,30,0,7,
SIMULATOR,NETWORK,16,1,4,287099,50,0,6,
SIMULATOR,NETWORK,16,1,8,398587,90,0,7,
SIMULATOR,NETWORK,16,1,16,559063,170,0,9,
SIMULATOR,NETWORK,16,1,32,558699,170,0,9,
SIMULATOR,NETWORK,16,1,64,558699,170,0,9,
SIMULATOR,NETWORK,16,2,1,298165,40,62,7,
SIMULATOR,NETWORK,16,2,2,284521,60,62,6,
SIMULATOR,NETWORK,16,2,4,307451,100,62,6,
SIMULATOR,NETWORK,16,2,8,406163,180,62,8,
SIMULATOR,NETWORK,16,2,16,405579,180,62,8,
SIMULATOR,NETWORK,16,2,32,405579,180,62,7,
SIMULATOR,NETWORK,16,2,64,405579,180,62,7,
SIMULATOR,NETWORK,16,4,1,330043,80,186,7,
SIMULATOR,NETWORK,16,4,2,338483,120,186,7,
SIMULATOR,NETWORK,16,4,4,387009,200,186,8,
SIMULATOR,NETWORK,16,4,8,397257,200,186,7,
SIMULATOR,NETWORK,16,4,16,397257,200,186,8,
SIMULATOR,NETWORK,16,4,32,397257,200,186,7,
SIMULATOR,NETWORK,16,4,64,397257,200,186,7,
SIMULATOR,NETWORK,16,8,1,449837,160,402,8,
SIMULATOR,NETWORK,16,8,2,477298,240,402,9,
SIMULATOR,NETWORK,16,8,4,478053,240,402,8,
