NUM ELEMENTS,TOTAL CYCLES,TOTAL THREADS CREATED,TOTAL THREAD MIGRATIONS,SIM WALL CLOCK TIME
2,9254,1,2,1
4,34784,5,15,2
8,103850,17,66,1
16,272128,49,196,3
32,669336,129,536,7
64,1584351,321,1392,13
128,3643658,769,3488,30
256,8250540,1793,8512,67
512,18389772,4097,20352,147
1024,40593318,9217,47872,321
2048,88746052,20481,111104,712
4096,192558048,45057,254976,1561
8192,415496990,98305,579584,3291
16384,891489266,212993,1306624,7098
32768,1904179146,458753,2924544,15117
65536,4050617578,983041,6504448,32949
131072,8586465532,2097153,14385152,67800
262144,18142647560,4456449,31653888,144333
